Russian,English
белый,White
собственный,own
улица,the outside
черный,the black
написать,Write
вечер,evening
снова,again
основной,basic
качество,quality
мысль,thought
дорога,road
мать,mother
действие,action
месяц,month
оставаться,stay
государство,state
язык,language
любовь,love
взгляд,sight
мама,mum
играть,play
далекий,far
лежать,lie
нельзя,it is forbidden
век,century
школа,school
подумать,think
уйти,go
цель,goal
среди,among
общество,society
посмотреть,look
деятельность,activity
организация,organization
кто-то,someone
вернуться,return
президент,the president
комната,room
порядок,order
момент,moment
театр,theatre
следовать,follow
читать,to read
письмо,letter
подобный,like
следующий,next
утро,morning
особенно,especially
помощь,help
ситуация,situation
роль,role
бывать,be
ходить,walk
рубль,ruble
начинать,start off
появиться,to appear
смысл,meaning
состояние,condition
называть,call
рядом,nearby
квартира,flat
назад,back
равный,equal
из-за,due to
орган,organ
внимание,Attention
тело,body
труд,work
прийтись,come
хотеться,want
сын,a son
мера,measure
пять,five
смерть,death
живой,alive
рынок,market
программа,program
задача,a task
предприятие,company
известный,known
окно,window
вести,news
совершенно,Top
военный,military
разговор,talk
показать,show
правительство,government
важный,important
семья,family
великий,great
производство,production
простой,simple
значит,means
третий,the third
сколько,How many
огромный,huge
давно,for a long time
политический,political
информация,information
действительно,really
положение,position
поставить,put
бояться,afraid
наконец,finally
центр,Centre
происходить,take place
ответ,answer
муж,husband
автор,author
все-таки,Still
стена,wall
существовать,exist
даже,even
интерес,interest
становиться,become
федерация,federation
правило,Rule
оба,both
часто,often
московский,Moscow
управление,control
слышать,hear
быстро,fast
смочь,Mock
заметить,notice
как-то,Somehow
мужчина,Man
долго,for a long time
правда,truth
идея,idea
партия,the consignment
иногда,sometimes
использовать,use
пытаться,try
готовый,ready
чуть,slightly
зачем,why
представить,imagine
чувствовать,feel
создать,create
совет,advice
счет,check
сердце,a heart
движение,motion
вещь,thing
материал,material
неделя,a week
чувство,feeling
затем,then
данный,the
заниматься,study
продолжать,continue
красный,Red
глава,chapter
ко,ko
слушать,listen
наука,the science
узнать,discover
ряд,row
газета,newspaper
причина,cause
против,against
плечо,shoulder
современный,modern
цена,price
план,plan
приехать,come
речь,speech
четыре,four
отвечать,respond
точка,dot
основа,the foundation
товарищ,comrade
культура,Culture
слишком,too much
рассказывать,tell
вполне,Full
далее,Further
рассказать,tell
данные,data
представлять,submit
мнение,opinion
социальный,social
около,about
документ,document
институт,Institute
ход,Turn
брать,take
забыть,forget
проект,project
ранний,early
встреча,meeting
особый,special
целый,whole
директор,director
провести,spend
спать,sleep
плохой,bad
может,maybe
впрочем,however
сильный,strong
наверное,maybe
скорый,Eightly
ведь,after all
срок,term
палец,finger
опыт,an experience
помочь,help
больше,more
приходить,come
служба,service
крупный,large
внутренний,interior
просить,ask
вспомнить,recall
открыть,open
привести,lead
судьба,fate
пока,till
девушка,young woman
поскольку,insofar as
очередь,turn
лес,Forest
пусть,let be
экономический,economic
оставить,leave
правый,right
состав,composition
словно,Like
федеральный,federal
спрашивать,ask
принимать,accept
член,member
искать,search
близкий,close
количество,number
похожий,similar
событие,event
объект,an object
зал,Hall
создание,creation
войти,to come in
различный,different
значение,meaning
назвать,call
достаточно,enough
период,period
хоть,though
шаг,step
необходимый,necessary
успеть,be on time
произойти,occur
брат,brother
искусство,art
единственный,the only one
легкий,easy
структура,structure
выходить,go out
номер,room
предложить,suggest
пример,example
пить,drink
исследование,study
гражданин,citizen
глядеть,look
человеческий,human
игра,a game
начальник,Chief
сей,this
рост,growth
ехать,drive
международный,international
тема,topic
принцип,principle
дорогой,expensive
попасть,get
десять,ten
начаться,begin
верить,believe
метод,method
тип,type
фильм,movie
небольшой,small
держать,Keep
либо,or
позволять,let
край,edge
местный,local
менее,less
гость,the guest
купить,buy
уходить,leave
собираться,going to
воздух,air
туда,there
относиться,relate
бывший,former
требовать,require
характер,character
борьба,wrestling
использование,usage
кстати,By the way
подойти,come true
размер,size
удаться,succeed
образование,education
получать,receive
мальчик,boy
кровь,blood
район,area
небо,sky
американский,American
армия,army
класс,Class
представитель,representative
участие,participation
девочка,girl
политика,politics
сначала,at first
герой,hero
картина,painting
широкий,wide
доллар,dollar
спина,back
территория,territory
мировой,world
пол,floor
тяжелый,heavy
довольно,enough
поле,field
ж,J.
изменение,change
умереть,die
более,more
направление,direction
рисунок,picture
течение,flow
возможный,possible
церковь,church
банк,bank
отдельный,separate
средний,middle
красивый,beautiful
сцена,scene
население,population
большинство,majority
сесть,Seek
двадцать,twenty
случиться,happen
музыка,music
короткий,short
правда,truth
проходить,pass
составлять,compose
свобода,freedom
память,memory
приходиться,come
причем,Moreover
команда,command
установить,install
союз,Soyuz
будто,as if
поднять,raise
врач,doctor
серьезный,serious
договор,Treaty
стараться,try
уметь,be able to
встать,stand up
дерево,wood
интересный,interesting
факт,fact
добрый,Kind
всего,Total
хозяин,master
национальный,National
однажды,once
длинный,long
природа,nature
домой,home
страшный,scary
прошлый,last
будто,as if
общественный,public
угол,injection
чтоб,To
телефон,phone
позиция,position
проводить,conduct
скоро,soon
наиболее,most
двор,courtyard
обычно,usually
бросить,throw
разве,not
писатель,Writer
самолет,airplane
объем,volume
далеко,long away
род,genus
солнце,Sun
вера,Vera
берег,Coast
спектакль,spectacle
фирма,firm
способ,way
завод,factory
цвет,color
трудно,hard
журнал,Journal
руководитель,supervisor
специалист,specialist
возможно,maybe
детский,child
точно,for sure
объяснить,explain
оценка,grade
единый,single
снять,take off
определенный,definite
низкий,short
нравиться,like
услышать,hear
регион,region
связать,to tie
песня,song
процент,percent
родитель,parent
позволить,allow
чужой,stranger
море,sea
странный,strange
требование,requirement
чистый,clean
весьма,quite
какой-нибудь,Some one
основание,base
половина,half
поехать,go
положить,put
входить,enter
легко,easily
поздний,late
роман,novel
круг,a circle
анализ,analysis
стихи,poems
автомобиль,automobile
специальный,special
экономика,economy
литература,literature
бумага,paper
вместо,instead of
впервые,for the first time
видно,it is seen
научный,scientific
оказываться,turn out
поэт,poet
показывать,show
степень,degree
вызвать,call
касаться,touch
господин,Mr.
надежда,hope
сложный,difficult
вокруг,around
предмет,subject
отметить,Mark
заявить,declare
вариант,option
министр,Minister
откуда,where
реальный,real
граница,border
действовать,act
дух,spirit
модель,model
операция,operation
пара,pair
сон,dream
немного,a little
название,title
ум,mind
повод,occasion
старик,old man
способный,capable
мало,few
миллион,million
малый,small
старший,older
успех,success
практически,practically
получиться,come out
личный,private
счастье,happiness
необходимо,necessary
свободный,free
ребята,guys
обычный,usual
кабинет,cabinet
прекрасный,beautiful
высший,higher
кричать,scream
прежде,Before
магазин,shop
пространство,space
выход,output
остановиться,stay
удар,hit
база,base
знание,knowledge
текст,text
сюда,here
темный,dark
защита,protection
предлагать,suggest
руководство,management
вовсе,at all
площадь,area
сознание,consciousness
гражданский,civil
убить,Kill
возраст,age
молчать,silence
согласиться,agree
участник,participant
участок,Plot.
рано,early
пункт,paragraph
несмотря,despite
сильно,strongly
столь,so
сообщить,to report
линия,line
бежать,run
желание,a wish
папа,dad
кажется,seems
петь,sing
доктор,doctor
губа,lip
известно,Known
дома,Houses
вызывать,call
дочь,daughter
показаться,appear
среда,Wednesday
председатель,Chairman
представление,representation
солдат,soldier
художник,painter
принести,bring
волос,hair
оружие,weapon
выглядеть,to look like
соответствие,conformity
никак,no way
ветер,wind
внешний,external
парень,boy
служить,serve
зрение,vision
попросить,ask for
генерал,General
состоять,to consist
огонь,Fire
отдать,give out
боевой,combat
понятие,Concept
строительство,construction
ухо,ear
выступать,protrude
грудь,breast
нос,nose
ставить,set
завтра,tomorrow
возникать,arise
когда,when
страх,fear
услуга,service
рабочий,worker
что-нибудь,anything
глубокий,deep
содержание,content
радость,joy
безопасность,security
надеяться,hope
продукт,product
видимо,Apparently
комплекс,complex
бизнес,business
подняться,rise
вспоминать,recall
мало,few
сад,garden
долгий,long
одновременно,simultaneously
называться,be called
сотрудник,employee
лето,summer
тихо,quiet
зато,but
прямой,straight
курс,well
помогать,to help
предложение,sentence
финансовый,financial
открытый,open
почему-то,for some reason
значить,to mean
возникнуть,arise
рот,mouth
где-то,somewhere
технология,technology
знакомый,familiar
недавно,recently
реформа,reform
отсутствие,absence
нынешний,currently
собака,dog
камень,stone
будущее,future
звать,call for
рассказ,story
контроль,control
позвонить,Call
река,river
хватать,grab
продукция,Products
сумма,sum
техника,technique
исторический,historical
вновь,again
народный,People
прямо,directly
ибо,for
выпить,drink
здание,building
сфера,sphere
знаменитый,famous
иначе,otherwise
потерять,lose
необходимость,need
больший,more
фонд,fund
иметься,exist
вперед,forward
подготовка,preparation
вчера,yesterday
лист,sheet
пустой,empty
очередной,Regular
республика,republic
хозяйство,farm
полностью,fully
получаться,Rather
учиться,to study
плохо,poorly
воля,will
судебный,judicial
бюджет,budget
возвращаться,come back
расти,grow
снег,snow
деревня,village
обнаружить,Detect
мужик,Men
постоянно,constantly
зеленый,green
элемент,element
обстоятельство,circumstance
почувствовать,feel
немец,German
многое,much
победа,victory
источник,a source
немецкий,German
золотой,gold
передать,hand over
технический,technical
нормальный,normal
едва,barely
желать,want
ожидать,expect
некий,Some
звезда,star
городской,urban
выбор,choice
соответствующий,corresponding
масса,weight
составить,draw up
итог,Outcome
сестра,sister
что,what
шесть,six
ясно,clear
практика,practice
сто,hundred
нести,carry
определить,define
проведение,Holding
карман,pocket
любимый,Darling
родной,native
западный,west
обязательно,necessarily
слава,glory
кухня,kitchen
определение,definition
пользоваться,enjoy
быстрый,fast
